id,setor,tombo,descricao,
u2qf9vOS7O,116328,18219,FONE DE OUVIDO JBL WAVE BUDS,
u2wn502rn5,110409,209260,MICROSCOPIO BINOCULAR,
u3HSmeFUKr,111904,13077,COMPUTADOR DESKTOP TIPO III AVANÇADO,
u3L1FEUN34,110136,15265,MACA PARA OSTEOPATIA.,
u3Yp9jVNhY,1164,9501,CARTEIRA ESCOLAR PARA DESTRO,
u3gpUe4KgJ,1163,3501,MESA DE REUNIÃO REDONDA MED 1200 X730MM,
u3h8Jw6T8K,110409,341748,CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS,
u3on06tODB,1115,4529,APARELHO DE AR CONDICIONADO SPLIT HI-WALL,
u3pHfjbD3J,1115,208934,CARTEIRA ESCOLAR UNIVERSITARIA DE,
u3sy76aOY0,1110,11264,POLTRONA FIXA,
u3tI2chOnE,111103,11642,CADEIRA ISO EM POLIPROPILENO,
u498aFEmDg,1116,3536,MESA PARA COMPUTADOR 900X600X730MM,
u4F265mGyG,1116,15141,IMPRESSORA 3D CREALITY,
u4khX2ZYtN,1114,3064,CARTEIRA ESCOLAR PARA DESTRO,
u4klFD0jiC,110409,278156,MODULO ISOLADOR,
u5HmXuyNPR,1115,6841,MESA PARA TENIS DE MESA 25MM,
u5JTiPwAfT,110409,288632,REBATEDOR LUZ,
u5Zjm3KCzN,110409,5918,MESA DE ESCRITÓRIO COM 3 GAVETAS,
u5nf1m6yTb,112303,14180,CADEIRA FIXA EMPILHÁVEL,
u5yoe3npmX,116328,13634,CADEIRA OBESO INJ COURVIM PRETO/PRETO,
u6DTO4zdEs,111103,6585,CADEIRA DE GIRATÓRIA SEM BRAÇO MARTIFLEX,
u6EfHXMj3v,1114,15079,DETECTOR FETAL MD PORTÁTIL DIGITAL,
u6EwmfewWS,1110,3607,MESA RETA MED 1000 X 750 X 740MM,
u6GQUern0C,1115,5866,MESA DE ESCRITÓRIO COM 3 GAVETAS,
u6iUuSCHce,110409,7756,APARELHO CONDICIONADOR DE AR PISO/TETO ELGIN,
u6ta0bOho0,1113,275244,ILHA ESTAÇÃO DE TRABALHO EM MADEIRA,
u6z6nK0D9J,110409,239344,BANCO INDIVIDUAL DE MADEIRA COM ASSENTO,
u7S3VDvvHw,110409,230535,ESTANTE DE ACO ABERTA COM PRATELEIRAS,
u7oLBHJZqP,110409,4261,ESTANTE INDUSTRIAL (ARMÁRIO ESTANTE),
u7zpALTik6,110409,237366,CADEIRA GIRATORIA COM ASSENTO E ENCOSTO,
